ticker,annouced,div_total,div_per_share
42,20040803,1149.422592,0.048
42,20050701,1077.58368,0.045
42,20070613,3879.301248,0.162
42,20080619,4310.33472,0.18
42,20090605,431.033472,0.018
42,20100520,3232.75104,0.135
42,20110513,12931.00416,0.54
42,20120613,8620.66944,0.36
42,20130524,11829.47418,0.494
42,20140605,5627.38144,0.235
42,20150514,6824.69664,0.1425
42,20160608,13301.40956,0.200072
42,20170614,5318.649112,0.08
42,20180614,13296.62278,0.2
42,20190605,6648.31139,0.1
42,20200701,7977.973668,0.12
45,NaN,NaN,0
45,NaN,0,0
45,NaN,NaN,0
45,NaN,NaN,0
45,NaN,NaN,0
45,NaN,NaN,0
45,19950713,0,0
45,19970728,0,0
45,20040701,2353.1904,0.144
45,20050817,1323.6696,0.054
45,20060713,1103.058,0.045
45,20090605,1103.058,0.045
46,NaN,NaN,0
46,NaN,NaN,0
46,NaN,NaN,0
46,NaN,NaN,0
46,19941015,0,0
46,19950524,0,0
46,19960629,0,0
46,19970329,0,0
46,19970723,0,0
46,20010712,1635.365085,0.067
46,20020816,1952.674728,0.08
46,20030920,1952.674728,0.08
46,20040708,0,0
46,20050708,366.1265113,0.0125
46,20080401,3.395543826,3.00E-05
46,20090603,10186.63148,0.045
46,20100511,20507.90296,0.09
46,20110712,5696.63971,0.025
46,20120711,24609.48355,0.054
46,20130626,43294.4618,0.095
46,20140530,64941.69269,0.1425
46,20150616,64941.69269,0.1425
46,20160618,77943.00984,0.15
46,20170707,77943.00984,0.15
46,20180711,77943.00984,0.15
46,20190628,77943.00984,0.15
46,20200710,51962.00656,0.1
47,19950803,0,0
47,19960720,0,0
47,19970815,70.2360071,0.007
48,NaN,0,0
48,NaN,0,0
48,NaN,NaN,0
48,NaN,NaN,0
48,NaN,NaN,0
48,19950718,1738.8,0.21
48,19960613,0,0
48,19970705,1363.74912,0.10294
48,19981020,0,0
48,20000510,0,0
48,20191102,0,0
48,20200711,30186.87983,0.75
48,20210429,60373.75965,1.5
49,NaN,NaN,0
49,NaN,NaN,0
49,NaN,NaN,0
49,19950908,0,0
49,19970305,0,0
49,19990605,0,0
49,20070421,1231.46244,0.09
49,20110701,1231.46244,0.09
49,20120705,3078.6561,0.225
49,20120904,4925.84976,0.36
49,20130606,3899.631032,0.285
49,20140417,2257.681124,0.165
49,20150421,3899.631022,0.19
49,20160506,3078.65607,0.15
49,20170505,5131.09345,0.25
49,20180428,5131.09345,0.25
49,20190530,5131.09345,0.25
49,20200604,14503.84166,0.7
49,20210430,20719.7738,1
50,NaN,NaN,0
50,NaN,NaN,0
50,NaN,0,0
50,NaN,NaN,0
50,19960601,0,0
50,19970703,489.4967,0.05894
50,19980627,1593.48035,0.13705
50,19990703,1855.20412,0.15956
50,20000715,930.16,0.08
50,20010629,1860.24047,0.14011
50,20020813,1593.24,0.12
50,20040522,0,0
50,20050601,2124.32,0.08
50,20060602,1194.93,0.045
50,20070619,5974.65,0.18
50,20080616,3445.425,0.09
50,20080925,0,0
50,20130531,3273.15375,0.057
50,20140729,5455.25625,0.095
50,20150704,10751.51551,0.095
50,20160811,8406.592464,0.06
50,20170719,8406.592464,0.06
50,20180327,14336.86136,0.07
50,20190521,14336.86136,0.07
50,20200521,16384.98441,0.08
55,NaN,NaN,0
55,NaN,NaN,0
55,NaN,NaN,0
55,NaN,NaN,0
55,19961026,0,0
55,19970521,2835,0.135
55,19980620,5071.2,0.2113
55,19981113,0,0
55,19990513,4363.2,0.1515
55,20010510,2845.44,0.096
55,20020612,2371.2,0.08
55,20030627,1659.84,0.056
55,20040522,711.36,0.024
55,20060406,0,0
55,20070428,0,0
55,20080613,0,0
55,20100330,0,0
55,20110420,0,0
55,20130601,2157.193229,0.0285
55,20140408,2157.193229,0.0285
55,20150528,2157.193229,0.0285
55,20160520,7569.09905,0.1
55,20170505,27618.31926,0.35
55,20180525,17754.63381,0.15
55,20190301,22467.68378,0.2
55,20200527,5441.394755,0.05
56,NaN,NaN,0
56,NaN,NaN,0
56,NaN,NaN,0
56,NaN,NaN,0
56,NaN,NaN,0
56,19970718,0,0
56,19980718,0,0
56,20000715,883.604736,0.04
56,20140801,0,0
56,20160702,0,0
56,20180809,4701.381472,0.04
56,20190703,1173.886133,0.010006
58,NaN,0,0
58,NaN,NaN,0
58,NaN,NaN,0
58,NaN,NaN,0
58,19970627,0,0
58,19980813,0,0
58,20000703,2208.480104,0.03322
58,20040713,6506.266932,0.0896
58,20060612,0,0
