Date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI,CI005030.WI
2005-04-18,890.6925,962.1027,972.0670,906.7344,944.6085,1010.6961,885.9602,875.6337,866.2468,1003.5101,842.8986,948.1894,917.3638,937.4084,984.9451,908.5377,882.3803,944.2725,1033.3595,891.7158,1026.3763,844.4289,945.4898,1022.5417,940.8142,851.5011,798.6460,865.5196,831.3724,
2005-04-19,886.6738,959.2689,973.2584,908.2417,946.7663,1007.4106,892.6059,878.4404,864.2866,995.5055,837.0375,942.2973,925.0635,942.1340,979.3700,908.0065,882.4313,941.1690,1031.1241,894.6722,1044.6391,877.0840,950.6158,1027.0040,942.6205,858.2634,800.1277,864.6003,835.0837,
2005-04-20,885.7095,951.3878,957.3668,889.7872,947.7188,995.4655,861.8277,860.3837,854.6068,980.0850,823.1436,915.3950,907.9957,928.7559,943.7123,902.3087,864.5253,925.5554,1021.3754,876.5720,1024.2347,851.7890,928.1355,1017.0187,888.7134,834.9162,757.6302,832.5380,804.6086,
2005-04-21,880.9908,964.0934,948.9304,878.3960,926.3374,983.9016,837.8596,839.1054,845.6483,972.5811,808.0708,920.5438,894.3510,916.1109,923.2009,886.4994,842.3156,923.4355,1009.2963,849.9086,1028.2078,827.4518,908.6735,1029.6910,844.3413,829.4409,733.8250,804.4272,787.7867,
2005-04-22,872.2691,967.7347,931.5779,878.4400,918.4698,968.9339,823.1550,820.1839,835.9941,958.2480,794.8680,915.9166,871.8688,905.5818,905.3143,874.8167,835.0697,915.1164,1013.3041,839.6194,1016.9387,775.9123,899.7945,1030.3778,847.7771,829.3158,733.6337,807.4197,771.1704,
2005-04-25,866.0805,940.6239,913.6459,870.9405,895.3174,952.4315,815.7130,793.4255,816.8150,937.8728,766.0438,907.3221,852.6826,894.6484,884.8800,873.4156,818.5123,907.8774,1025.4511,828.5519,1013.4302,787.7781,889.3862,1027.2047,840.2737,806.1267,724.5805,800.2386,758.0920,
2005-04-26,867.8683,927.0381,922.6339,885.4692,893.8065,964.6808,832.4763,802.3760,825.6047,948.2019,781.5750,914.9351,866.5712,908.7170,896.3644,900.6192,834.1045,927.7558,1038.5461,841.8787,1019.4503,818.7926,899.3730,1019.2223,865.1436,815.8875,746.6244,816.3843,774.0317,
2005-04-27,860.7428,924.5157,909.7726,876.9533,856.5501,957.2673,818.8212,780.6172,818.2645,942.4023,767.5355,914.4197,853.9469,896.3637,885.0918,884.2263,811.1095,919.6671,1036.0201,829.6316,1015.2035,806.1602,890.6896,1011.4316,840.1673,801.6157,722.8397,783.1822,750.5855,
2005-04-28,874.2240,941.1452,935.6912,892.9273,863.0106,978.6775,836.9759,799.2809,838.6558,961.3887,790.9688,933.0007,874.4615,914.9395,903.3796,899.7562,822.7104,939.5175,1060.7270,849.6333,1021.9481,832.7369,908.8069,1028.6759,848.8822,818.1366,743.6845,792.9792,771.4732,
2005-04-29,866.9491,926.7630,915.5820,888.1914,857.6990,960.9810,828.4562,789.3770,830.0747,937.8055,776.1367,924.6370,862.7535,907.4070,888.9348,885.3864,805.8461,926.9853,1051.1296,842.0098,1042.6829,829.0427,906.0417,1023.1822,821.7817,799.8962,724.6019,767.7429,765.2502,
2005-05-09,845.6020,911.7752,883.5204,874.8740,840.1652,928.0563,782.5369,761.8023,801.6424,900.2709,746.8890,885.8397,842.3797,883.7161,852.3738,862.6255,775.1502,907.5624,1026.5527,816.2305,1022.7234,801.6894,873.8557,993.6081,807.7719,777.8843,711.4693,763.6255,738.7038,
2005-05-10,858.8585,907.9027,879.0380,864.9826,848.0007,922.7742,782.7453,756.9034,808.0285,901.6270,742.6389,894.6715,845.3897,885.3378,849.5314,870.8034,776.4735,907.1625,1024.3877,818.3144,1043.2658,835.8545,876.9734,992.4139,812.4556,781.1855,713.4995,758.1903,736.2612,
