ticker,industry,included,excluded
000594.SZ,6220,20100429,20120719
000594.SZ,6220,20120720,20150713
000594.SZ,6225,20150714,null
000595.SZ,6220,19960419,null
000596.SZ,6230,19960612,null
000597.SZ,6235,19960523,null
000598.SZ,6215,19960529,20100318
000598.SZ,6255,20100319,null
000599.SZ,6225,19960430,null
000600.SZ,6225,19960606,20040326
000600.SZ,6255,20040327,null
000601.SZ,6255,19960830,null
000602.SZ,6245,19960819,20090414
000602.SZ,6215,20090415,20120719
000602.SZ,6255,20120720,20130814
000603.SZ,6235,19960823,20050428
000603.SZ,6225,20050429,20111110
000603.SZ,6215,20111111,20190422
000603.SZ,6215,20190423,null
000605.SZ,6220,19960913,20020406
000605.SZ,6235,20020407,20140101
000605.SZ,6255,20140102,null
000606.SZ,6235,19961004,20160602
000606.SZ,6245,20160603,null
000607.SZ,6220,19960830,20060323
000607.SZ,6230,20060324,20100319
000607.SZ,6220,20100320,20141217
000607.SZ,6225,20141218,20170417
000607.SZ,6225,20170418,null
000608.SZ,6215,19960919,19990310
000608.SZ,6240,19990311,20170301
000608.SZ,6260,20170302,null
000609.SZ,6215,19961010,20070330
000609.SZ,6240,20070331,20120719
000609.SZ,6225,20120720,20140504
000609.SZ,6240,20140505,20170301
000609.SZ,6260,20170302,null
000610.SZ,6225,19960926,null
000611.SZ,6225,19961008,20030423
000611.SZ,6245,20030424,20120719
000611.SZ,6225,20120720,20190830
000611.SZ,6220,20190831,null
000612.SZ,6215,19960926,null
000613.SZ,6225,19961008,null
000615.SZ,6245,19961016,20070419
000615.SZ,6215,20070420,20150806
000615.SZ,6240,20150807,20170301
000615.SZ,6260,20170302,null
000616.SZ,6225,19961108,20031028
000616.SZ,6240,20031029,20170301
000616.SZ,6260,20170302,null
000617.SZ,6220,19961022,20170209
000617.SZ,6240,20170210,null
000618.SZ,6215,19961015,20060220
000619.SZ,6215,19961023,20010221
000619.SZ,6220,20010222,null
000620.SZ,6210,19961029,20110707
000620.SZ,6240,20110708,20170301
000620.SZ,6260,20170302,null
000621.SZ,6245,19961105,null
000622.SZ,6225,19961107,null
000623.SZ,6235,19961028,null
000625.SZ,6225,19961108,null
000626.SZ,6225,19961128,20120719
000626.SZ,6220,20120720,null
000627.SZ,6215,19961112,20170424
000627.SZ,6240,20170425,null
000628.SZ,6240,19961118,20140504
000628.SZ,6220,20140505,null
000629.SZ,6215,19961115,20130811
000629.SZ,6215,20130812,null
000630.SZ,6215,19961120,null
000631.SZ,6225,19961122,20090604
000631.SZ,6240,20090605,20170301
000631.SZ,6260,20170302,null
000632.SZ,6220,19961121,null
000633.SZ,6225,19961112,20100306
000633.SZ,6215,20100307,null
000635.SZ,6215,19961120,null
000636.SZ,6245,19961129,null
000637.SZ,6215,19961114,null
000638.SZ,6220,19961126,20090604
000638.SZ,6240,20090605,20130331
000638.SZ,6220,20130401,null
000639.SZ,6220,19961126,20030124
000639.SZ,6220,20030125,20080807
000639.SZ,6220,20080808,20110222
000639.SZ,6230,20110223,null
000650.SZ,6215,19961210,20070110
000650.SZ,6235,20070111,null
000651.SZ,6225,19961118,null
000652.SZ,6215,19961128,19980218
000652.SZ,6220,19980219,20140504
000652.SZ,6220,20140505,null
000653.SZ,6220,19961126,null
000655.SZ,6225,19961128,20070205
000655.SZ,6215,20070206,null
000656.SZ,6215,19961128,20040418
000656.SZ,6240,20040419,20170301
000656.SZ,6260,20170302,null
000657.SZ,6215,19961205,null
000658.SZ,6220,19961218,null
000659.SZ,6215,19961203,null
000660.SZ,6220,19961209,null
000661.SZ,6235,19961218,null
000662.SZ,6220,19961216,20040410
000662.SZ,6230,20040411,20160502
000662.SZ,6245,20160503,null
000663.SZ,6215,19961206,20150908
000663.SZ,6225,20150909,null
000665.SZ,6225,19961210,20121120
000665.SZ,6225,20121121,null
000666.SZ,6220,19961210,20170323
000666.SZ,6240,20170324,null
000667.SZ,6225,19961205,20030422
000667.SZ,6240,20030423,20170301
000667.SZ,6260,20170302,null
000668.SZ,6210,19961210,20090122
000668.SZ,6240,20090123,20170301
000668.SZ,6260,20170302,null
000669.SZ,6225,19961210,20000809
000669.SZ,6230,20000810,20100418
000669.SZ,6215,20100419,20121213
000669.SZ,6255,20121214,null
000670.SZ,6210,19961217,20090729
000670.SZ,6240,20090730,20140831
000670.SZ,6245,20140901,null
000671.SZ,6220,19961218,20020830
000671.SZ,6240,20020831,20170301
000671.SZ,6260,20170302,null
000672.SZ,6225,19961218,20040419
000672.SZ,6215,20040420,20050830
000672.SZ,6225,20050831,20130501
000672.SZ,6215,20130502,null
000673.SZ,6215,19970124,20121203
000673.SZ,6225,20121204,20170412
000673.SZ,6225,20170413,null
000675.SZ,6215,19961226,null
000676.SZ,6220,19961224,20150203
000676.SZ,6245,20150204,20160330
000676.SZ,6245,20160331,null
000677.SZ,6215,19961226,null
000678.SZ,6225,19970106,null
000679.SZ,6225,19970124,null
000680.SZ,6220,19970122,null
000681.SZ,6225,19970121,20130228
000681.SZ,6225,20130301,null
000682.SZ,6220,19970121,null
000683.SZ,6215,19970131,null
000685.SZ,6240,19970123,20090826
000685.SZ,6255,20090827,null
000686.SZ,6210,19970227,20070724
000686.SZ,6240,20070725,null
000687.SZ,6215,19970221,20151022
000687.SZ,6220,20151023,null
000688.SZ,6225,19970120,20010818
000688.SZ,6245,20010819,20120719
000688.SZ,6215,20120720,null
000689.SZ,6215,19961231,null
000690.SZ,6220,19970128,20060124
000690.SZ,6255,20060125,null
000691.SZ,6215,19970228,20120220
000691.SZ,6240,20120221,20170301
000691.SZ,6260,20170302,20200827
000691.SZ,6215,20200828,null
000692.SZ,6255,19970227,null
000693.SZ,6215,19970226,20000218
000693.SZ,6245,20000219,20131008
000693.SZ,6215,20131009,null
000695.SZ,6215,19970218,20040420
000695.SZ,6255,20040421,20181023
000695.SZ,6220,20181024,null
000697.SZ,6245,19970325,20120418
000697.SZ,6215,20120419,20180402
000697.SZ,6220,20180403,null
000698.SZ,6215,19970220,null
000699.SZ,6215,19970310,null
000700.SZ,6225,19970228,null
000701.SZ,6220,19970226,null
000702.SZ,6230,19970318,null
000703.SZ,6220,19970328,20040428
000703.SZ,6215,20040429,20060317
000703.SZ,6220,20060318,20070302
000703.SZ,6220,20070303,20110607
000703.SZ,6215,20110608,null
000705.SZ,6235,19970410,null
000707.SZ,6215,19970415,null
000708.SZ,6215,19970326,null
000709.SZ,6215,19970416,null
000710.SZ,6225,19970422,20170426
000710.SZ,6235,20170427,null
000711.SZ,6225,19970411,20070411
000711.SZ,6240,20070412,20150309
000711.SZ,6245,20150310,20160726
000711.SZ,6220,20160727,null
000712.SZ,6225,19970415,20090416
000712.SZ,6255,20090417,20140717
000712.SZ,6240,20140718,null
000713.SZ,6230,19970422,null
000715.SZ,6225,19970508,null
000716.SZ,6240,19970418,20060428
000716.SZ,6230,20060429,null
000717.SZ,6215,19970508,null
000718.SZ,6215,19970408,20070315
000718.SZ,6240,20070316,20170301
000718.SZ,6260,20170302,null
000719.SZ,6215,19970331,20110919
000719.SZ,6225,20110920,null
000720.SZ,6255,19970509,20190325
000720.SZ,6260,20190326,null
000721.SZ,6225,19970430,null
000722.SZ,6220,19970522,20120312
000722.SZ,6255,20120313,null
000723.SZ,6220,19970515,20070903
000723.SZ,6210,20070904,null
000725.SZ,6245,19970610,null
000726.SZ,6225,19970819,null
000727.SZ,6245,19970520,20120719
000727.SZ,6245,20120720,null
000728.SZ,6215,19970616,20071026
000728.SZ,6240,20071027,null
000729.SZ,6230,19970716,null
000730.SZ,6220,19970522,20040924
000730.SZ,6245,20151231,null
000731.SZ,6215,19970617,null
000732.SZ,6215,19970704,20100724
000732.SZ,6240,20100725,20170301
000732.SZ,6260,20170302,null
000733.SZ,6245,19970703,null
000735.SZ,6230,19970611,null
000736.SZ,6220,19970425,20050426
000736.SZ,6245,20050427,20090331
000736.SZ,6240,20090401,20170301
000736.SZ,6260,20170302,null
000737.SZ,6230,19970428,20190304
000737.SZ,6215,20190305,null
000738.SZ,6225,19970626,20090831
000738.SZ,6220,20090901,null
000739.SZ,6225,19970509,20030418
000739.SZ,6235,20030419,null
000748.SZ,6245,19970704,20170118
000750.SZ,6235,19970709,20110803
000750.SZ,6240,20110804,null
000751.SZ,6215,19970626,null
000752.SZ,6230,19970625,null
000753.SZ,6220,19970626,20020816
000753.SZ,6220,20020817,20050416
000753.SZ,6225,20050417,null
000755.SZ,6215,19970627,20181113
000755.SZ,6220,20181114,null
000756.SZ,6235,19961231,null
000757.SZ,6220,19970627,20040421
000757.SZ,6245,20040422,20060823
000757.SZ,6220,20060824,20130228
000757.SZ,6225,20130301,null
000758.SZ,6220,19970416,20080814
000758.SZ,6215,20080815,null
000759.SZ,6225,19970519,20000408
000759.SZ,6230,20000409,null
000760.SZ,6225,19970627,null
000761.SZ,6215,19970708,null
000762.SZ,6215,19970708,null
000763.SZ,6210,19970915,20060104
000765.SZ,6225,19971103,20160607
000765.SZ,6220,20160608,null
000766.SZ,6235,19970430,null
000767.SZ,6255,19970609,null
000768.SZ,6220,19970626,null
000769.SZ,6215,19970530,20030430
000769.SZ,6230,20030501,null
000776.SZ,6220,19970611,20100211
000776.SZ,6240,20100212,null
000777.SZ,6220,19970710,null
000778.SZ,6215,19970606,null
000779.SZ,6225,19970528,20190331
000779.SZ,6220,20190401,null
000780.SZ,6230,19970606,20070817
000780.SZ,6210,20070818,null
000782.SZ,6215,19970619,null
000783.SZ,6210,19970731,20071218
000783.SZ,6240,20071219,null
000785.SZ,6225,19970711,null
000786.SZ,6215,19970606,null
000787.SZ,6225,19970626,20000121
000787.SZ,6245,20000122,20141230
000787.SZ,6245,20141231,null
000788.SZ,6235,19970616,null
000789.SZ,6215,19970923,null
000790.SZ,6235,19980327,20020814
000790.SZ,6220,20020815,20080822
000790.SZ,6220,20080823,20120719
000790.SZ,6220,20120720,20150809
000790.SZ,6235,20150810,null
000791.SZ,6215,19971014,20121217
000791.SZ,6255,20121218,null
000792.SZ,6215,19970904,null
000793.SZ,6220,19970729,20090303
000793.SZ,6225,20090304,null
000795.SZ,6215,19970808,null
000796.SZ,6225,19970703,20100103
000796.SZ,6230,20100104,20150722
000796.SZ,6225,20150723,null
000797.SZ,6240,19970715,20120719
000797.SZ,6220,20120720,20140504
000797.SZ,6240,20140505,20170301
000797.SZ,6260,20170302,null
000798.SZ,6230,19980212,null
000799.SZ,6230,19970718,null
000800.SZ,6225,19970618,null
000801.SZ,6225,19980506,null
000802.SZ,6225,19980108,20150212
000802.SZ,6225,20150213,null
000803.SZ,6225,19980303,20060418
000803.SZ,6220,20060419,20120719
000803.SZ,6225,20120720,20180227
000803.SZ,6220,20180228,20210203
000803.SZ,6220,20210204,null
000805.SZ,6225,19980529,20010308
000805.SZ,6245,20010309,null
000806.SZ,6220,19980416,null
000807.SZ,6215,19980408,null
000809.SZ,6225,19980616,20040417
000809.SZ,6235,20040418,20111113
000809.SZ,6240,20111114,20170301
000809.SZ,6260,20170302,null
000810.SZ,6225,19980602,20141007
000810.SZ,6225,20141008,20200323
000810.SZ,6245,20200324,null
000811.SZ,6220,19980528,null
000812.SZ,6220,19980623,null
000813.SZ,6225,19980519,20131031
000813.SZ,6215,20131101,20160724
000813.SZ,6235,20160725,null
000815.SZ,6215,19980609,null
000816.SZ,6220,19970818,null
000817.SZ,6210,19980528,20060104
000818.SZ,6215,19971017,null
000819.SZ,6215,19970625,null
000820.SZ,6215,19980630,20160619
000820.SZ,6220,20160620,null
000821.SZ,6220,19980626,null
000822.SZ,6215,19980703,null
000823.SZ,6245,19971008,null
000825.SZ,6215,19981021,null
000826.SZ,6215,19980225,20030820
000826.SZ,6255,20030821,20100510
000826.SZ,6220,20100511,null
000827.SZ,6230,19981016,20010331
000827.SZ,6215,20010401,null
000828.SZ,6245,19970617,20040415
000828.SZ,6220,20040416,null
000829.SZ,6230,19971202,20031031
000829.SZ,6245,20031101,null
000830.SZ,6215,19980807,null
000831.SZ,6215,19980911,20130228
000831.SZ,6215,20130301,null
000832.SZ,6215,19980825,null
000833.SZ,6230,19981111,20100809
000833.SZ,6215,20100810,20150629
000833.SZ,6220,20150630,null
000835.SZ,6220,19990625,20070216
000835.SZ,6210,20070217,20141021
000835.SZ,6245,20141022,null
000836.SZ,6225,19970929,20060826
000836.SZ,6240,20060827,20110425
000836.SZ,6245,20110426,null
000837.SZ,6220,19980928,null
000838.SZ,6220,19970626,20031028
000838.SZ,6215,20031029,20070920
000838.SZ,6240,20070921,20170301
000838.SZ,6260,20170302,null
000839.SZ,6225,19971031,20020314
000839.SZ,6240,20020315,20060318
000839.SZ,6225,20060319,null
000848.SZ,6230,19971113,null
000850.SZ,6225,19981007,null
000851.SZ,6220,19980609,20030425
000851.SZ,6245,20030426,20150317
000851.SZ,6225,20150318,null
000852.SZ,6210,19981126,null
000856.SZ,6225,19980813,20110803
000856.SZ,6220,20110804,null
000858.SZ,6230,19980427,null
000859.SZ,6215,19981119,null
000860.SZ,6230,19981104,null
000861.SZ,6215,19981028,20090817
000861.SZ,6240,20090818,20120103
000861.SZ,6225,20120104,20140504
000861.SZ,6220,20140505,null
000862.SZ,6220,19980915,20150325
000862.SZ,6255,20150326,null
000863.SZ,6245,19970925,20010808
000863.SZ,6245,20010809,20120311
000863.SZ,6240,20120312,20170301
000863.SZ,6260,20170302,null
000866.SZ,6215,19980512,20060421
000868.SZ,6225,19970725,null
000869.SZ,6230,19970923,null
000875.SZ,6255,20020926,null
000876.SZ,6230,19980311,null
000877.SZ,6215,19990107,null
000878.SZ,6215,19980602,null
000880.SZ,6220,19980402,20070104
000880.SZ,6220,20070105,null
000881.SZ,6220,19980902,null
000882.SZ,6225,19980616,null
000883.SZ,6220,19980519,20120719
000883.SZ,6255,20120720,null
000885.SZ,6230,19990319,20070824
000885.SZ,6215,20070825,20180911
000885.SZ,6220,20180912,null
000886.SZ,6240,19980123,20170301
000886.SZ,6260,20170302,20190827
000886.SZ,6220,20190828,null
000887.SZ,6220,19981203,20070816
000887.SZ,6225,20070817,null
000888.SZ,6225,19971021,null
000889.SZ,6225,19971218,20030326
000889.SZ,6240,20030327,20070419
000889.SZ,6225,20070420,20151103
000889.SZ,6245,20151104,null
