,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate
2018-04-02,9.947660936855817,0.9398058015680117,1.9416640036534454,1.6944454512137084,0.30511256037687984,1.8209142017144029,15.553065757090808,0.25197584390654426,2.3974913408214173,1.7574623559403857,0.9301531588714967
2018-07-02,10.626618870750454,0.83467710609458,1.9556203650041575,1.7346817251131483,0.2983114170999675,1.4177225709370753,16.37385888858941,0.25386998005821426,2.301479966403632,1.6857921790637107,1.0620095801963023
2018-10-08,10.51485896776992,0.8083957818729148,2.0911010734373052,1.7234522879369156,0.23356784924638668,1.5017365849554418,16.15910633124991,0.2618192524472819,2.2590845480994504,1.7318538215395924,0.9856273002161118
2019-01-02,0.10044252626087777,0.31026502639184805,0.07700514818678414,0.13436182841976688,0.10539917695999215,0.012273510313469928,0.3120488532060539,0.06292378924728564,0.0,0.06760098401101179,0.012385324146748457
2019-04-01,19.007403173011152,1.0563265130441168,2.237792900609608,1.626691220572155,0.3415817385466374,1.3112636083878164,12.87787337046519,0.48042845722554417,0.35393114400426784,6.995133614881986,1.570033528935219
2019-07-01,19.83753415271855,1.0842845243696708,2.314513936920801,1.279012265942763,0.2865379120953633,1.1093130262972106,12.979090824911635,0.5549859061807272,0.3981681278214647,7.767864049960554,1.6032340563763527
2019-10-08,19.23632408100801,0.958317904033595,2.162664309314792,1.178763476362257,0.24447060984335303,0.8710954477438813,11.115867800769394,0.5651804110567403,0.390878038238471,8.046108143357516,1.557266108610217
2020-01-02,1.7052277994967686,0.1229286017860824,0.08095483208709098,0.01776539863537421,0.0009161013613419538,0.07952036319909374,0.08198400910481683,0.015141922012134885,0.0,0.0,0.009788531727764326
2020-04-01,5.9062084734780775,0.9840493253362074,2.0037292830722127,0.6000063709998457,0.25310912546123643,1.137434383035913,17.402611207160845,0.4475928838266507,0.0,9.21951328821004,1.8294181606493702
2020-07-01,5.56500882463347,0.9024581978108753,1.850313372181065,0.831437576148023,0.24202947759721843,1.5767651202603536,16.421190815036294,0.3713632559052241,0.0,10.044683598418077,1.8842424034632865
2020-10-09,5.701738741290073,0.7208869629326541,1.5585898366155047,1.0386755589424481,0.276949162584599,1.6423226448920005,14.457735567406623,0.3282076451987593,0.0,9.217617167462956,1.8073089585243836
