date,CSI 300,Small Cap,CSI 300 Chg,Small Cap Chg,AR
2013-02-21,73.8438517437338,89.96611730000009,-3.4074,-1.762,121.18929999999996
2013-02-22,73.44925224101402,89.72860759999998,-0.5344,-0.264,121.45969999999997
2013-02-25,73.68572907561884,90.70583549999996,0.322,1.0891,122.22679999999997
2013-02-26,72.62865499557314,89.61318610000016,-1.4346,-1.2046,122.45679999999996
2013-02-27,73.39494177182247,89.66410140000004,1.0551,0.0568,121.45849999999996
2013-02-28,75.61969093948625,91.25100319999997,3.0312,1.7698,120.19709999999996
2013-03-01,75.49268364434563,92.4779939000001,-0.168,1.3446,121.70969999999997
2013-03-04,72.01002480743827,89.8324723000001,-4.6132,-2.8607,123.46219999999997
2013-03-05,74.19064671888391,91.74911989999997,3.0282,2.1336,122.56759999999997
2013-03-06,74.96541950594444,93.20785130000002,1.0443,1.5899,123.11319999999996
2013-03-07,74.09645199887984,92.30116440000002,-1.1592,-0.9728,123.29959999999997
2013-03-08,73.74145387994557,91.56181930000004,-0.4791,-0.801,122.97769999999997
2013-03-11,73.32959948857642,91.58266209999994,-0.5585,0.0228,123.55899999999997
2013-03-12,72.2897802971801,89.31082530000006,-1.418,-2.4806,122.49639999999997
2013-03-13,71.49435821714569,88.60012980000019,-1.1003,-0.7958,122.80089999999996
2013-03-14,71.68614206147832,88.86986059999997,0.2683,0.3044,122.83699999999996
2013-03-15,71.8445475966203,88.94006570000002,0.221,0.079,122.69499999999996
2013-03-18,70.78719064954755,87.88442880000008,-1.4717,-1.1869,122.97979999999997
2013-03-19,71.42675299768332,88.11925699999993,0.9035,0.2672,122.34349999999996
2013-03-20,73.8331027967063,90.18250550000005,3.369,2.3414,121.31589999999997
2013-03-21,73.96944470373921,91.18116830000004,0.1847,1.1074,122.23859999999996
2013-03-22,74.06335655671626,91.39656400000003,0.127,0.2362,122.34779999999996
2013-03-25,73.9159828356288,91.42765910000004,-0.199,0.034,122.58079999999997
2013-03-26,72.83967379774442,90.86055450000003,-1.4561,-0.6203,123.41659999999996
2013-03-27,73.07954503667371,91.0954232,0.3293,0.2585,123.34579999999997
2013-03-28,70.69695606792203,88.54331500000005,-3.2603,-2.8016,123.80449999999996
2013-03-29,70.57758618251147,88.53665939999996,-0.1688,-0.0075,123.96579999999997
2013-04-01,70.52412431440105,89.14262780000006,-0.0757,0.6844,124.72589999999997
2013-04-02,70.33177473601434,88.03943479999991,-0.2727,-1.2376,123.76099999999997
2013-04-03,70.2514405003352,87.19056290000007,-0.1142,-0.9642,122.91099999999997
2013-04-08,69.93321509491604,87.55097550000005,-0.453,0.4134,123.77739999999997
2013-04-09,70.41776631223428,88.31255019999998,0.6929,0.8699,123.95439999999996
2013-04-10,70.3012250970941,87.97864910000011,-0.1655,-0.3781,123.74179999999997
2013-04-11,70.09105489600394,87.68356769999997,-0.299,-0.3354,123.70539999999997
2013-04-12,69.64497359436302,86.98642570000004,-0.6364,-0.7951,123.54669999999997
2013-04-15,68.92960288298075,85.89169990000002,-1.0272,-1.2585,123.31539999999997
2013-04-16,69.57369110354914,86.68182060000001,0.9344,0.9199,123.30089999999997
2013-04-17,69.54200999652073,87.4353399,-0.0455,0.8693,124.21569999999997
2013-04-18,69.72247915977178,87.64959410000006,0.2595,0.245,124.20119999999997
2013-04-19,71.6736959122886,89.21393010000006,2.7985,1.7848,123.18749999999997
2013-04-22,71.58430993174419,89.83970409999998,-0.1247,0.7014,124.01359999999997
2013-04-23,69.2874296721854,87.47022150000011,-3.2086,-2.6375,124.58469999999997
2013-04-24,70.59172953386343,89.15859390000004,1.8824,1.9302,124.63249999999996
2013-04-25,69.80818786896468,87.74882500000005,-1.11,-1.5812,124.16129999999997
2013-04-26,69.22633039434493,86.14303190000005,-0.8335,-1.83,123.16479999999997
2013-05-02,69.29223841164507,86.63657659999998,0.0952,0.5729,123.64249999999997
2013-05-03,70.51620403764393,88.24111870000002,1.7664,1.852,123.72809999999997
2013-05-06,71.45164529606276,89.75155650000008,1.3266,1.7117,124.11319999999996
2013-05-07,71.56366063877032,89.92572160000002,0.1568,0.1941,124.15049999999997
2013-05-08,71.92742763554281,90.84200929999999,0.5083,1.0189,124.66109999999996
2013-05-09,71.50284422795687,91.12714580000004,-0.5903,0.3139,125.56529999999997
2013-05-10,71.87198569824311,91.76066630000005,0.5163,0.6952,125.74419999999996
2013-05-13,71.58713860201458,92.24500059999995,-0.3963,0.5278,126.66829999999996
2013-05-14,70.52836731980663,91.35103209999997,-1.479,-0.9691,127.17819999999996
2013-05-15,70.91278360955297,92.58714469999994,0.5451,1.3531,127.98619999999997
2013-05-16,72.20774885933872,93.2074176,1.8261,0.6699,126.82999999999996
2013-05-17,73.32054774371116,94.36553470000007,1.5411,1.2425,126.53139999999996
2013-05-20,73.8172622431921,95.8885396000001,0.6775,1.6139,127.46779999999995
2013-05-21,73.96548456536067,97.20473969999995,0.2008,1.3726,128.63959999999997
2013-05-22,74.05543627995917,96.17378350000007,0.1216,-1.0606,127.45739999999996
2013-05-23,73.06031007883503,95.624192,-1.3438,-0.5715,128.22969999999998
2013-05-24,73.4670728637175,97.08396239999998,0.5567,1.5266,129.19959999999998
2013-05-27,73.53382948209877,98.05443220000004,0.0909,0.9996,130.10829999999996
2013-05-28,74.80022516215352,97.70866880000004,1.7222,-0.3526,128.03349999999998
2013-05-29,74.74930909728646,98.48236699999997,-0.0681,0.7918,128.89339999999996
2013-05-30,74.51622666700611,98.76943100000013,-0.3118,0.2915,129.49669999999998
2013-05-31,73.7273105285936,98.33957119999998,-1.0587,-0.4352,130.12019999999995
2013-06-03,73.61953819129165,97.7217907000001,-0.1462,-0.6282,129.63819999999996
2013-06-04,72.5743445263816,95.92554609999996,-1.4197,-1.8381,129.21979999999996
2013-06-05,72.42923374151046,96.44519810000003,-0.1999,0.5417,129.96139999999997
2013-06-06,71.50425856309208,94.93922349999995,-1.2771,-1.5615,129.67699999999996
2013-06-07,70.2686953889846,93.51819189999988,-1.728,-1.4968,129.90819999999997
2013-06-13,67.88638928725995,91.17312500000011,-3.3903,-2.5076,130.79089999999997
2013-06-14,68.36245449376702,92.89965770000009,0.7013,1.8937,131.98329999999996
2013-06-17,67.99670742780528,93.20244769999998,-0.535,0.3259,132.84419999999994
2013-06-18,68.41817929809375,93.48779370000007,0.6198,0.3062,132.53059999999996
2013-06-19,67.90958438347717,93.16282749999992,-0.7434,-0.3476,132.92639999999994
2013-06-20,65.66673172608289,90.48544819999998,-3.3027,-2.8739,133.35519999999997
2013-06-21,65.55132197905087,89.95726860000002,-0.1758,-0.5837,132.94729999999996
2013-06-24,61.41637177779098,84.96003450000005,-6.308,-5.5551,133.70019999999997
2013-06-25,61.25259176913524,84.83654320000004,-0.2667,-0.1454,133.82149999999996
2013-06-26,61.33405747292255,86.57441980000004,0.133,2.0485,135.73699999999997
2013-06-27,61.12021000048087,85.09498210000007,-0.3487,-1.7089,134.37679999999995
2013-06-28,62.248849438367515,84.72141249999994,1.8466,-0.439,132.09119999999996
2013-07-01,62.607524828653304,86.45043690000014,0.5762,2.0408,133.55579999999995
2013-07-02,62.8524876740693,87.93785790000003,0.3913,1.7205,134.88499999999996
2013-07-03,62.33908401999304,88.01105479999991,-0.8168,0.0832,135.78499999999997
2013-07-04,62.8524876740693,88.55532859999997,0.8236,0.6184,135.57979999999995
2013-07-05,62.99024391623741,87.93539830000003,0.2192,-0.7,134.66059999999996
2013-07-08,61.201675704268176,84.74738109999987,-2.8394,-3.6254,133.87459999999996
2013-07-09,61.174803336699455,85.2616154999999,-0.0439,0.6068,134.52529999999996
2013-07-10,62.911606882720505,87.61098479999991,2.8391,2.7555,134.44169999999997
2013-07-11,65.81438831419739,89.63309129999993,4.6141,2.3081,132.13569999999996
2013-07-12,64.36271473143191,89.18726490000002,-2.2057,-0.4974,133.84399999999997
2013-07-15,65.26590914876826,91.04037029999999,1.4033,2.0778,134.51849999999996
2013-07-16,65.56433386229466,92.2211107,0.4572,1.2969,135.35819999999995
2013-07-17,64.57401640063023,91.05741679999994,-1.5105,-1.2619,135.60679999999996
2013-07-18,63.51298218220597,91.15283160000004,-1.6431,0.1048,137.35469999999998
2013-07-19,61.96145653889563,89.17591259999995,-2.4428,-2.1688,137.62869999999998
2013-07-22,62.29269382755861,91.00637049999996,0.5346,2.0526,139.14669999999998
2013-07-23,64.0931424546635,93.1624298,2.8903,2.3691,138.6255
2013-07-24,63.621037386534965,93.85636939999999,-0.7366,0.7449,140.10699999999997
2013-07-25,63.296588906520924,92.15664800000003,-0.51,-1.811,138.80599999999998
2013-07-26,62.90990968055827,92.20791829999987,-0.6109,0.0556,139.47249999999997
2013-07-29,61.55101648266166,90.80850779999999,-2.1601,-1.5177,140.11489999999998
2013-07-30,61.930624032948344,90.6240419,0.6167,-0.2031,139.29509999999996
2013-07-31,62.033304763763596,91.04128900000008,0.1658,0.4604,139.58969999999997
2013-08-01,63.513830783287084,93.49730740000001,2.3867,2.6977,139.90069999999997
2013-08-02,63.56757551842455,93.90427029999987,0.0846,0.4353,140.2514
2013-08-05,64.44644337143552,95.34727950000003,1.3826,1.5367,140.40549999999996
2013-08-06,64.87951278983263,96.14618680000014,0.672,0.8379,140.57139999999998
2013-08-07,64.51121992062751,95.13392900000012,-0.5677,-1.0528,140.08629999999997
2013-08-08,64.40259898224444,95.53886479999989,-0.1684,0.4256,140.6803
2013-08-09,64.66368524820167,95.79826880000006,0.4054,0.2715,140.54639999999998
2013-08-12,66.55267125476985,96.97242520000002,2.9212,1.2257,138.85089999999997
2013-08-13,66.7303117477505,97.66224080000002,0.2669,0.7114,139.29539999999997
2013-08-14,66.44772758773829,97.39211079999983,-0.4235,-0.2766,139.4423
2013-08-15,65.66984326338032,96.50432439999994,-1.1707,-0.9116,139.70139999999998
2013-08-16,65.17652316822384,94.54404639999991,-0.7512,-2.0313,138.42129999999997
2013-08-19,65.94846728501398,96.47117100000003,1.1844,2.0383,139.27519999999998
2013-08-20,65.41215140174754,96.70229360000005,-0.8132,0.2396,140.32799999999997
2013-08-21,65.30239899525633,97.4685582,-0.1678,0.7924,141.2882
2013-08-22,65.17058296065602,97.61714599999992,-0.2019,0.1524,141.64249999999998
2013-08-23,64.68970901468929,97.27506650000007,-0.7379,-0.3504,142.02999999999997
2013-08-26,66.06698856934344,99.01691500000001,2.1291,1.7906,141.6915
2013-08-27,66.2157766255661,99.80779250000002,0.2252,0.7987,142.265
2013-08-28,65.85314109690175,98.92197209999995,-0.5477,-0.8875,141.9252
2013-08-29,65.57734574553848,98.95695590000005,-0.4188,0.0354,142.37939999999998
2013-08-30,65.4528842536412,97.36465089999996,-0.1898,-1.6091,140.96009999999998
2013-09-02,65.63476775202746,98.20391650000005,0.2779,0.862,141.5442
2013-09-03,66.60104151639355,99.63172469999996,1.4722,1.4539,141.52589999999998
2013-09-04,66.49355204611864,99.80964960000006,-0.1614,0.1786,141.8659
2013-09-05,66.24010318989146,100.05438410000005,-0.3812,0.2452,142.4923
2013-09-06,66.69382190126244,100.60473739999995,0.685,0.5501,142.35739999999998
2013-09-09,69.03680948622862,101.2527314999999,3.5131,0.6441,139.48839999999998
2013-09-10,70.0064776549192,101.90540969999992,1.4046,0.6446,138.7284
2013-09-11,70.2327712765506,100.79731589999994,0.3232,-1.0874,137.31779999999998
2013-09-12,70.92749269495901,100.8865922000001,0.9892,0.0886,136.41719999999998
2013-09-13,70.4027743598012,101.21801659999991,-0.7398,0.3285,137.4855
2013-09-16,70.10548111438294,101.56723790000012,-0.4223,0.345,138.25279999999998
2013-09-17,68.66087920729345,100.0689441,-2.0606,-1.4752,138.8382
2013-09-18,68.80768719432683,100.81823700000005,0.2138,0.7488,139.3732
2013-09-23,69.93293222788898,102.62163559999993,1.6353,1.7888,139.5267
2013-09-24,69.1295898710975,102.8220881,-1.1487,0.1953,140.8707
2013-09-25,68.70924946891716,102.29805490000004,-0.608,-0.5097,140.969
2013-09-26,67.44794539534911,100.6730978,-1.8357,-1.5885,141.2162
2013-09-27,67.74580437482143,100.7462244,0.4416,0.0726,140.8472
2013-09-30,68.14379828186567,101.98025899999993,0.5875,1.2249,141.4846
2013-10-08,69.07075352947332,103.63776390000008,1.3603,1.6253,141.7496
2013-10-09,69.40368802029853,104.87760059999991,0.482,1.1963,142.4639
2013-10-10,68.71745261270131,104.19539639999994,-0.9888,-0.6505,142.8022
2013-10-11,69.82600849166816,105.47502869999978,1.6132,1.2281,142.4171
2013-10-14,69.94000390356497,106.64231619999995,0.1633,1.1067,143.3605
2013-10-15,69.79800465599126,106.62598109999996,-0.203,-0.0153,143.54819999999998
2013-10-16,68.49257332620509,103.8498013999999,-1.8703,-2.6037,142.8148
2013-10-17,68.26514823646552,104.05729409999998,-0.332,0.1998,143.34659999999997
2013-10-18,68.62495509485946,104.58683720000003,0.5271,0.5089,143.3284
2013-10-21,69.90549412626619,107.07639919999978,1.866,2.3804,143.84279999999998
2013-10-22,69.18616327650534,106.4513699000001,-1.029,-0.5837,144.2881
2013-10-23,68.41110762241776,103.86334960000008,-1.1202,-2.4312,142.97709999999998
2013-10-24,67.9025127078012,103.28691619999992,-0.7434,-0.555,143.16549999999998
2013-10-25,66.99875255641075,101.64046460000004,-1.331,-1.5941,142.9024
2013-10-28,66.9249242623535,101.4987654000001,-0.1102,-0.1394,142.8732
2013-10-29,67.09747314884747,98.64070389999992,0.2578,-2.8159,139.79949999999997
2013-10-30,68.09938815862051,100.20872449999982,1.4932,1.5896,139.89589999999998
2013-10-31,67.14471194236302,99.1937787000001,-1.4019,-1.0128,140.28499999999997
2013-11-01,67.46265448075515,98.73568239999997,0.4735,-0.4618,139.34969999999998
2013-11-04,67.33508145156043,99.52247949999992,-0.1891,0.7969,140.33569999999997
2013-11-05,67.42899330453747,100.90216889999988,0.1395,1.3863,141.58249999999998
2013-11-06,66.57473488287891,100.31683379999991,-1.2669,-0.5801,142.2693
2013-11-07,66.2064420136738,99.12444929999991,-0.5532,-1.1886,141.63389999999998
2013-11-08,65.2842955055258,97.83168120000009,-1.3928,-1.3042,141.72249999999997
2013-11-11,65.50889192499497,98.62026860000005,0.344,0.8061,142.1846
2013-11-12,66.19088432718662,99.47713050000011,1.0411,0.8688,142.01229999999998
2013-11-13,64.72337019090695,97.80930529999998,-2.2171,-1.6766,142.5528
2013-11-14,65.18670638119727,99.23133180000006,0.7159,1.4539,143.2908
2013-11-15,66.49440064719975,101.02958690000008,2.0061,1.8122,143.09689999999998
2013-11-18,68.70557219756564,103.18115520000003,3.3253,2.1296,141.9012
2013-11-19,68.23205279430192,103.64710880000013,-0.6892,0.4516,143.04199999999997
2013-11-20,68.59101105161474,104.6853097999999,0.5261,1.0017,143.5176
2013-11-21,68.17067064943441,104.27077850000002,-0.6128,-0.396,143.7344
2013-11-22,67.83038161590618,103.98171500000015,-0.4992,-0.2772,143.95639999999997
2013-11-25,67.56646667967856,104.17575110000006,-0.3891,0.1866,144.53209999999999
2013-11-26,67.5322397694068,104.72713070000006,-0.0507,0.5293,145.11209999999997
2013-11-27,68.29767794457503,105.87604189999995,1.1334,1.0971,145.0758
2013-11-28,69.00625984730839,106.56271039999987,1.0375,0.6486,144.68689999999998
2013-11-29,68.98957069271306,107.6194601000001,-0.0242,0.9917,145.70279999999997
2013-12-02,68.41959363322896,101.67329339999999,-0.8262,-5.5252,141.00379999999998
2013-12-03,69.09819163109614,103.44592049999999,0.9918,1.7435,141.75549999999998
2013-12-04,70.01354933059518,104.66528859999985,1.3247,1.1787,141.60949999999997
2013-12-05,69.81723961382993,104.53496479999995,-0.2804,-0.1245,141.7654
2013-12-06,69.36719817381048,104.31022149999998,-0.6446,-0.215,142.195
2013-12-09,69.3270310559709,105.52018069999977,-0.0579,1.16,143.41289999999998
2013-12-10,69.39633347759552,105.5072228000001,0.1,-0.0123,143.30059999999997
2013-12-11,68.24902481592429,104.56872590000008,-1.6533,-0.8895,144.06439999999998
2013-12-12,68.17123638348849,105.22327489999996,-0.114,0.626,144.8044
2013-12-13,68.07591019537625,105.68260910000005,-0.1398,0.4365,145.3807
2013-12-16,66.98064906668024,104.32003619999995,-1.6089,-1.2893,145.7003
2013-12-17,66.65422051747694,103.75546309999999,-0.4873,-0.5412,145.6464
2013-12-18,66.67826421477527,103.70625070000014,0.0361,-0.0474,145.5629
2013-12-19,65.97618825366382,102.83989360000004,-1.0529,-0.8354,145.7804
2013-12-20,64.44106889792177,101.76469769999987,-2.3268,-1.0455,147.0617
2013-12-23,64.62380099738914,101.46067429999994,0.2836,-0.2988,146.4793
2013-12-24,64.72704746225847,102.34515299999994,0.1598,0.8717,147.1912
2013-12-25,65.20396126984667,103.90685989999989,0.7368,1.5259,147.9803
2013-12-26,64.07871623628448,102.14900849999995,-1.7257,-1.6918,148.01420000000002
2013-12-27,65.15785394443925,103.89490570000022,1.6841,1.7092,148.0393
2013-12-30,65.04414139956948,104.4636481,-0.1745,0.5474,148.7612
